"","StockKeyLabel","AssessmentYear","Year","SSB","Recruitment","F"
"1","aru.27.5b6a",2022,1995,121425,104317,0.144
"2","aru.27.5b6a",2022,1996,105201,109635,0.128
"3","aru.27.5b6a",2022,1997,105565,105811,0.155
"4","aru.27.5b6a",2022,1998,99065,109197,0.287
"5","aru.27.5b6a",2022,1999,90032,102606,0.233
"6","aru.27.5b6a",2022,2000,91475,102726,0.162
"7","aru.27.5b6a",2022,2001,94223,98048,0.309
"8","aru.27.5b6a",2022,2002,89230,95349,0.254
"9","aru.27.5b6a",2022,2003,90155,90212,0.115
"10","aru.27.5b6a",2022,2004,96875,88479,0.067
"11","aru.27.5b6a",2022,2005,101855,88711,0.1
"12","aru.27.5b6a",2022,2006,111399,89261,0.114
"13","aru.27.5b6a",2022,2007,119483,92845,0.098
"14","aru.27.5b6a",2022,2008,119394,92997,0.144
"15","aru.27.5b6a",2022,2009,113570,97100,0.179
"16","aru.27.5b6a",2022,2010,108283,104137,0.26
"17","aru.27.5b6a",2022,2011,96179,107781,0.32
"18","aru.27.5b6a",2022,2012,87917,111779,0.196
"19","aru.27.5b6a",2022,2013,83232,113113,0.304
"20","aru.27.5b6a",2022,2014,78089,109610,0.2
"21","aru.27.5b6a",2022,2015,79279,104078,0.204
"22","aru.27.5b6a",2022,2016,82324,98209,0.203
"23","aru.27.5b6a",2022,2017,78452,104078,0.231
"24","aru.27.5b6a",2022,2018,74854,NA,0.144
"25","aru.27.5b6a",2022,2019,78671,NA,0.192
"26","aru.27.5b6a",2022,2020,84107,NA,0.145
"27","aru.27.5b6a",2022,2021,90958,NA,0.185
"28","aru.27.5b6a",2022,2022,89158,NA,NA
"29","bli.27.5b67",2022,1995,65099.1676888412,3381.2,0.12603
"30","bli.27.5b67",2022,1996,65466.406384193,3683.1,0.13231
"31","bli.27.5b67",2022,1997,67430.6406477095,3677.3,0.17005
"32","bli.27.5b67",2022,1998,64960.1323650303,3334.3,0.1739
"33","bli.27.5b67",2022,1999,65762.9062562843,3181.5,0.21077
"34","bli.27.5b67",2022,2000,61685.2592902047,2960.7,0.2167
"35","bli.27.5b67",2022,2001,58983.0208445561,2694,0.23269
"36","bli.27.5b67",2022,2002,53590.2194598272,2668.7,0.18273
"37","bli.27.5b67",2022,2003,52133.5650680766,2620.8,0.16181
"38","bli.27.5b67",2022,2004,53376.5669306028,2250.9,0.12351
"39","bli.27.5b67",2022,2005,57155.6773305034,2437.5,0.10927
"40","bli.27.5b67",2022,2006,61040.8634121177,3055.8,0.11165
"41","bli.27.5b67",2022,2007,63149.6212207149,2783.3,0.10272
"42","bli.27.5b67",2022,2008,64838.4111315212,2823.8,0.0747
"43","bli.27.5b67",2022,2009,67146.5373755545,2643.7,0.07437
"44","bli.27.5b67",2022,2010,68237.4503500887,3543.3,0.08358
"45","bli.27.5b67",2022,2011,68500.9599019596,4609.3,0.05135
"46","bli.27.5b67",2022,2012,70443.8897424896,4004.2,0.05606
"47","bli.27.5b67",2022,2013,70648.6653346764,3168,0.04445
"48","bli.27.5b67",2022,2014,72117.1099679413,NA,0.05029
"49","bli.27.5b67",2022,2015,75027.7957604728,NA,0.04711
"50","bli.27.5b67",2022,2016,76982.9895293246,NA,0.04885
"51","bli.27.5b67",2022,2017,78684.4856427745,NA,0.0387
"52","bli.27.5b67",2022,2018,80265.2527498507,NA,0.04784
"53","bli.27.5b67",2022,2019,83902.0726322266,NA,0.04601
"54","bli.27.5b67",2022,2020,90851.590612075,NA,0.04447
"55","bli.27.5b67",2022,2021,95477.8983986449,NA,0.05568
"56","bli.27.5b67",2022,2022,95514.988047806,NA,NA
"57","bss.27.4bc7ad-h",2021,1985,23458.1,858.113,0.1034627
"58","bss.27.4bc7ad-h",2021,1986,20629.8,2507.24,0.1220908
"59","bss.27.4bc7ad-h",2021,1987,18445.7,21261.4,0.1596367
"60","bss.27.4bc7ad-h",2021,1988,16791.1,17341,0.1284094
"61","bss.27.4bc7ad-h",2021,1989,16163.7,91287.5,0.1291675
"62","bss.27.4bc7ad-h",2021,1990,14827.5,7456.55,0.1310743
"63","bss.27.4bc7ad-h",2021,1991,13002,15421.9,0.1506857
"64","bss.27.4bc7ad-h",2021,1992,11421.6,22821.3,0.152536
"65","bss.27.4bc7ad-h",2021,1993,11825.4,8729.2,0.1457289
"66","bss.27.4bc7ad-h",2021,1994,14493.5,33723,0.1305484
"67","bss.27.4bc7ad-h",2021,1995,18233.8,50199.5,0.1434664
"68","bss.27.4bc7ad-h",2021,1996,20206.1,3153.21,0.1972296
"69","bss.27.4bc7ad-h",2021,1997,19367.9,57980.1,0.1839774
"70","bss.27.4bc7ad-h",2021,1998,18116.5,17300.8,0.1792867
"71","bss.27.4bc7ad-h",2021,1999,17486.7,56876.4,0.1929948
"72","bss.27.4bc7ad-h",2021,2000,17573.6,24520.4,0.1776792
"73","bss.27.4bc7ad-h",2021,2001,18559.2,27540,0.1777983
"74","bss.27.4bc7ad-h",2021,2002,19420.2,43463.3,0.1754968
"75","bss.27.4bc7ad-h",2021,2003,20639.9,44286.3,0.2052478
"76","bss.27.4bc7ad-h",2021,2004,21395.2,33889.5,0.2109452
"77","bss.27.4bc7ad-h",2021,2005,21909.6,22741.3,0.2397736
"78","bss.27.4bc7ad-h",2021,2006,21418.3,24431.9,0.2419195
"79","bss.27.4bc7ad-h",2021,2007,20929.3,28175.4,0.2276021
"80","bss.27.4bc7ad-h",2021,2008,21185.3,14729.6,0.2261883
"81","bss.27.4bc7ad-h",2021,2009,21443.8,12940.1,0.2186966
"82","bss.27.4bc7ad-h",2021,2010,21171.9,2513.99,0.2554828
"83","bss.27.4bc7ad-h",2021,2011,19566.1,10481.4,0.2374672
"84","bss.27.4bc7ad-h",2021,2012,18100.4,4586.2,0.2592886
"85","bss.27.4bc7ad-h",2021,2013,16176.4,16353.7,0.2994173
"86","bss.27.4bc7ad-h",2021,2014,13483.1,27690.9,0.2422148
"87","bss.27.4bc7ad-h",2021,2015,11408.2,5337.03,0.2230145
"88","bss.27.4bc7ad-h",2021,2016,9496.04,20924.6,0.1407156
"89","bss.27.4bc7ad-h",2021,2017,8708.86,5458.45,0.1168849
"90","bss.27.4bc7ad-h",2021,2018,8720.1,17018.6,0.1036627
"91","bss.27.4bc7ad-h",2021,2019,9543.17,9696,0.1010114
"92","bss.27.4bc7ad-h",2021,2020,10772.8,9696,0.1086823
"93","bss.27.4bc7ad-h",2021,2021,11619.4,9696,NA
"94","cod.27.6a",2021,1981,43283,24180,0.677
"95","cod.27.6a",2021,1982,42496,14158,0.719
"96","cod.27.6a",2021,1983,35778,24072,0.784
"97","cod.27.6a",2021,1984,30417,10611,0.857
"98","cod.27.6a",2021,1985,25407,21463,0.914
"99","cod.27.6a",2021,1986,21989,43214,0.875
"100","cod.27.6a",2021,1987,24080,7331,0.906
"101","cod.27.6a",2021,1988,26692,21484,0.908
"102","cod.27.6a",2021,1989,24972,7985,0.925
"103","cod.27.6a",2021,1990,19319,11755,0.868
"104","cod.27.6a",2021,1991,16182,21811,0.895
"105","cod.27.6a",2021,1992,14300,7867,0.894
"106","cod.27.6a",2021,1993,14315,13868,0.89
"107","cod.27.6a",2021,1994,14092,10236,0.889
"108","cod.27.6a",2021,1995,13096,4230,0.906
"109","cod.27.6a",2021,1996,11009,17060,0.94
"110","cod.27.6a",2021,1997,9366,5443,0.966
"111","cod.27.6a",2021,1998,9144,4309,0.967
"112","cod.27.6a",2021,1999,7727,14632,0.971
"113","cod.27.6a",2021,2000,6684,4145,0.967
"114","cod.27.6a",2021,2001,6995,6995,0.988
"115","cod.27.6a",2021,2002,6438,2311,1.001
"116","cod.27.6a",2021,2003,5242,3248,1.032
"117","cod.27.6a",2021,2004,3659,2222,1.058
"118","cod.27.6a",2021,2005,2629,7256,1.067
"119","cod.27.6a",2021,2006,2495,2470,1.049
"120","cod.27.6a",2021,2007,3112,1772,1.026
"121","cod.27.6a",2021,2008,3124,5475,1.032
"122","cod.27.6a",2021,2009,2544,6397,1.07
"123","cod.27.6a",2021,2010,2930,2416,1.013
"124","cod.27.6a",2021,2011,3797,4136,0.972
"125","cod.27.6a",2021,2012,3842,7440,0.847
"126","cod.27.6a",2021,2013,3945,6313,0.771
"127","cod.27.6a",2021,2014,4984,5842,0.709
"128","cod.27.6a",2021,2015,6246,2181,0.667
"129","cod.27.6a",2021,2016,6702,1933,0.654
"130","cod.27.6a",2021,2017,6173,912,0.702
"131","cod.27.6a",2021,2018,4488,4028,0.745
"132","cod.27.6a",2021,2019,2988,2412,0.769
"133","cod.27.6a",2021,2020,2630,1614,0.749
"134","cod.27.6a",2021,2021,2893,NA,NA
"135","cod.27.7a",2018,1968,15691.18,49788.78,0.5998134
"136","cod.27.7a",2018,1969,15242.27,70916.94,0.7956164
"137","cod.27.7a",2018,1970,11707.45,116626.7,0.5953286
"138","cod.27.7a",2018,1971,12866.84,41581.58,0.654678
"139","cod.27.7a",2018,1972,16340.44,110047.9,0.5752746
"140","cod.27.7a",2018,1973,20615.62,25382.48,0.7452568
"141","cod.27.7a",2018,1974,17311.28,87804.34,0.6679787
"142","cod.27.7a",2018,1975,17776.95,27893.89,0.7441629
"143","cod.27.7a",2018,1976,13812.04,42582.61,0.7548844
"144","cod.27.7a",2018,1977,13267.95,45993.25,0.7758029
