"StockKeyLabel","AssessmentYear","Year","F","FMSY","SSB","Low_Recruitment","Recruitment","High_Recruitment","RecruitmentAge"
"aru.27.5b6a",2022,1995,0.144,0.24,121425,66206,78943,94129,5
"aru.27.5b6a",2022,1996,0.128,0.24,105201,71306,83199,97075,5
"aru.27.5b6a",2022,1997,0.155,0.24,105565,79818,91396,104653,5
"aru.27.5b6a",2022,1998,0.287,0.24,99065,87539,100228,114756,5
"aru.27.5b6a",2022,1999,0.233,0.24,90032,90015,102593,116928,5
"aru.27.5b6a",2022,2000,0.162,0.24,91475,91686,104317,118688,5
"aru.27.5b6a",2022,2001,0.309,0.24,94223,95779,109635,125496,5
"aru.27.5b6a",2022,2002,0.254,0.24,89230,92990,105811,120400,5
"aru.27.5b6a",2022,2003,0.115,0.24,90155,95007,109197,125506,5
"aru.27.5b6a",2022,2004,0.067,0.24,96875,89935,102606,117062,5
"aru.27.5b6a",2022,2005,0.1,0.24,101855,89622,102726,117746,5
"aru.27.5b6a",2022,2006,0.114,0.24,111399,85503,98048,112435,5
"aru.27.5b6a",2022,2007,0.098,0.24,119483,82952,95349,109598,5
"aru.27.5b6a",2022,2008,0.144,0.24,119394,77960,90212,104389,5
"aru.27.5b6a",2022,2009,0.179,0.24,113570,76346,88479,102541,5
"aru.27.5b6a",2022,2010,0.26,0.24,108283,76633,88711,102693,5
"aru.27.5b6a",2022,2011,0.32,0.24,96179,77025,89261,103441,5
"aru.27.5b6a",2022,2012,0.196,0.24,87917,80100,92845,107617,5
"aru.27.5b6a",2022,2013,0.304,0.24,83232,79990,92997,108120,5
"aru.27.5b6a",2022,2014,0.2,0.24,78089,83288,97100,113203,5
"aru.27.5b6a",2022,2015,0.204,0.24,79279,88594,104137,122406,5
"aru.27.5b6a",2022,2016,0.203,0.24,82324,90976,107781,127691,5
"aru.27.5b6a",2022,2017,0.231,0.24,78452,92950,111779,134423,5
"aru.27.5b6a",2022,2018,0.144,0.24,74854,92702,113113,138018,5
"aru.27.5b6a",2022,2019,0.192,0.24,78671,88831,109610,135249,5
"aru.27.5b6a",2022,2020,0.145,0.24,84107,82513,104078,131279,5
"aru.27.5b6a",2022,2021,0.185,0.24,90958,74819,98209,128911,5
"aru.27.5b6a",2022,2022,NA,0.24,89158,89261,104078,113113,5
"bli.27.5b67",2022,1995,0.12603,0.12,65099.1676888412,1811.2452,3247.2,4683.1548,9
"bli.27.5b67",2022,1996,0.13231,0.12,65466.406384193,1861.4464,3305.3,4749.1536,9
"bli.27.5b67",2022,1997,0.17005,0.12,67430.6406477095,1824.436,3913.6,6002.764,9
"bli.27.5b67",2022,1998,0.1739,0.12,64960.1323650303,1917.6652,3276.2,4634.7348,9
"bli.27.5b67",2022,1999,0.21077,0.12,65762.9062562843,1953.376,4191.5,6429.624,9
"bli.27.5b67",2022,2000,0.2167,0.12,61685.2592902047,2103.4532,3314.4,4525.3468,9
"bli.27.5b67",2022,2001,0.23269,0.12,58983.0208445561,2335.7008,3533.3,4730.8992,9
"bli.27.5b67",2022,2002,0.18273,0.12,53590.2194598272,1802.7992,2741.6,3680.4008,9
"bli.27.5b67",2022,2003,0.16181,0.12,52133.5650680766,2078.3516,2908,3737.6484,9
"bli.27.5b67",2022,2004,0.12351,0.12,53376.5669306028,2573.7976,3381.2,4188.6024,9
"bli.27.5b67",2022,2005,0.10927,0.12,57155.6773305034,2873.228,3683.1,4492.972,9
"bli.27.5b67",2022,2006,0.11165,0.12,61040.8634121177,2886.6752,3677.3,4467.9248,9
"bli.27.5b67",2022,2007,0.10272,0.12,63149.6212207149,2578.23,3334.3,4090.37,9
