"","stock","method","llti","lltv","lltv.b","lltv.ab","D","df","pvalue","pvalue.b","pvalue.ab","AICti","AICtv","AICtv.b","AICtv.ab","lltest","gfit"
"1","aru.27.5b6a","dlm",-14.5693205693833,-30.5767553699485,-29.3344071864473,-13.3524657939981,32.0148696011305,1,1.52996980640197e-08,5.50529393184007e-08,1,-23.1386411387666,-53.1535107398971,-50.6688143728946,-14.7049315879961,"time-varying","time-varying"
"2","bss.27.4bc7ad-h","dlm",45.75473915302,42.7345577829116,41.7930290866307,41.7930291704063,6.04036274021678,1,0.0139824109928611,0.0048798937440393,0.00487989419594981,97.5094783060399,93.4691155658231,91.5860581732614,95.5860583408126,"time-varying","time-varying"
"3","cod.27.6a","dlm",31.6418200687526,31.3530191549552,31.3245709032067,31.0223458126481,0.577601827594862,1,0.447253866168631,0.425710081483381,0.265673797423047,69.2836401375052,70.7060383099104,70.6491418064134,74.0446916252961,"time-invarying","time-invarying"
"4","cod.27.7a","dlm",46.0616858204322,35.3302877104869,41.0752246593172,35.3302877998392,21.4627962198906,1,3.60760469342303e-06,0.00158859153807578,3.60760502959856e-06,98.1233716408644,78.6605754209739,90.1504493186344,82.6605755996783,"time-varying","time-varying"
"5","cod.27.7e-k","dlm",40.6177573201571,36.8962529107509,37.8305022587274,36.6178501681089,7.44300881881242,1,0.00636833352918598,0.018223762341248,0.00467821472791785,87.2355146403141,81.7925058215017,83.6610045174547,85.2357003362179,"time-varying","time-varying"
"6","dgs.27.nea","dlm",-275.753807712821,-327.19538720082,-281.381443056307,-327.195385280296,102.883158975997,1,0,0.000793972429690482,0,-545.507615425643,-646.39077440164,-554.762886112614,-642.390770560591,"time-varying","time-varying"
"7","had.27.46a20","dlm",64.7536270406942,50.5346342367924,54.0585019296896,50.4345646605211,28.4379856078034,1,9.67482922664686e-08,3.74671632930035e-06,8.7247396529655e-08,135.507254081388,109.069268473585,116.117003859379,112.869129321042,"time-varying","time-varying"
"8","had.27.6b","dlm",54.1791407738876,44.6426078842461,49.5482979157619,44.6426393771757,19.073065779283,1,1.25807945319245e-05,0.00233997543694298,1.25812097597766e-05,114.358281547775,97.2852157684923,107.096595831524,101.285278754351,"time-varying","time-varying"
"9","had.27.7a","dlm",42.3487796566136,42.3487801511501,41.581441273332,42.3487809022966,-9.89073015489339e-07,1,1,0.21541190025147,1,90.6975593132272,92.6975603023002,91.1628825466641,96.6975618045931,"time-invarying","time-invarying"
"10","had.27.7b-k","dlm",37.069488905956,37.0637036555158,37.0694893539989,37.0637042645731,0.0115705008803246,1,0.914339760100341,1,0.91434425190821,80.138977811912,82.1274073110316,82.1389787079978,86.1274085291462,"time-invarying","time-invarying"
