stocks,lab,ActiveYear,StockDatabaseID,StockKey,StockKeyDescription,Area,R,Region,SpeciesScientificName,SpeciesCommonName,EcoRegion,ExpertGroup,ExpertGroupDescription,AdviceDraftingGroup,AdviceDraftingGroupDescription,DataCategory,YearOfLastAssessment,AssessmentFrequency,YearOfNextAssessment,AssessmentType,AdviceCategory,TrophicGuild,FisheriesGuild,SizeGuild,Published,StockStatus
aru.27.5b6a,WS greater silver smelt,2021,2840,169058,Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland),West of Scotland,1,Northern CSE,Argentina silus,Greater silver smelt,"Celtic Seas Ecoregion, Faroes Ecoregion",WGDEEP,Working Group on the Biology and Assessment of Deep-sea Fisheries Resources,ADGDEEP,Deep see stocks advice drafting group,1,2021,1,2022,Age-based analytical assessment that uses catches in the model and in the forecast (SAM),MSY,pelagic planktivore,Pelagic,medium bathydemersal,TRUE,0.8
bli.27.5b67,CS blue ling,2021,2880,169062,Blue ling (Molva dypterygia) in subareas 6-7 and Division 5.b (Celtic Seas and Faroes grounds),Celtic Sea,1,Northern CSE,Molva dypterygia,Blue ling,"Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",WGDEEP,Working Group on the Biology and Assessment of Deep-sea Fisheries Resources,ADGDEEP,Deep see stocks advice drafting group,1,2020,2,2022,"Age-structured model (MYCC), multi-year catch curves fitted to age composition and total catch in order to estimate annual total mortality (Z)",MSY,demersal piscivore,Demersal,medium demersal,TRUE,1.08
bss.27.4bc7ad-h,Nsad seabass,2021,2868,169069,"Seabass (Dicentrarchus labrax) in Divisions 4.b-c, 7.a, and 7.d-h (central and southern North Sea, Irish Sea, English Channel, Bristol Channel, and Celtic Sea)",Wide area,2,Central CSE,Dicentrarchus labrax,Seabass,"Celtic Seas Ecoregion, Greater North Sea Ecoregion",WGCSE,Working Group for the Celtic Seas Ecoregion,ADGCS,Celtic Sea Advice Drafting Group,1.2,2020,1,2021,"Age- and length-structured model (SS3), uses landings in the model and in the forecast",MSY,demersal piscivore,Demersal,large demersal,TRUE,1.04
cod.27.6a,WS cod,2021,2798,169088,Cod (Gadus morhua) in Division 6.a (West of Scotland),West of Scotland,1,Northern CSE,Gadus morhua,Cod,Celtic Seas Ecoregion,WGCSE,Working Group for the Celtic Seas Ecoregion,ADGCS,Celtic Sea Advice Drafting Group,1.2,2019,2,2021,SAM model,MSY,demersal piscivore,Demersal,large demersal,TRUE,2.97
cod.27.7a,IS cod,2018,,,Cod (Gadus morhua) in Division 7.a (Irish Sea),Irish Sea,2,Central CSE,Gadus morhua,Cod,Celtic Seas Ecoregion,,,,,3,2018,,,ASAP (Age-Structured Assessment Programme,,demersal piscivore,Demersal,large demersal,,1.87
cod.27.7e-k,CS cod,2021,2850,169078,Cod (Gadus morhua) in divisions 7.e-k (eastern English Channel and southern Celtic Seas),Celtic Seas,3,Southern CSE,Gadus morhua,Cod,"Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",WGCSE,Working Group for the Celtic Seas Ecoregion,ADGCS,Celtic Sea Advice Drafting Group,1,2020,1,2021,Age-based stochastic analytical assessment (SAM),MSY,demersal piscivore,Demersal,large demersal,TRUE,3.24
dgs.27.nea,NEA spurdog,2021,2875,169094,"Spurdog (Squalus acanthias) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",Northeast Atlantic,4,NEA wide area,Squalus acanthias,Spurdog,"Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion",WGEF,Working Group on Elasmobranch Fishes,ADGEF,Elasmobranch Stocks Advice Drafting Group,1.2,2020,2,2022,"Age- and length-structured model, with separate sexes",MSY/PA,demersal piscivore,Elasmobranch,large benthopelagic,TRUE,NA
had.27.46a20,Nsad haddock,2021,2720,169108,"Haddock (Melanogrammus aeglefinus) in Subarea 4, Division 6.a, and Subdivision 20  (North Sea, West of Scotland, Skagerrak) ",Wide area,1,Northern CSE,Melanogrammus aeglefinus,Haddock,"Celtic Seas Ecoregion, Greater North Sea Ecoregion",WGNSSK,Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak,ADGNS,Advice Drafting Group for North Sea stocks,1,2020,1,2021,Age-structured model (TSA),MSY,demersal piscivore,Demersal,large demersal,TRUE,3.2
had.27.6b,Rockhall haddock,2021,2912,169114,Haddock (Melanogrammus aeglefinus) in Division 6.b (Rockall),Rockall,1,Northern CSE,Melanogrammus aeglefinus,Haddock,"Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion",WGCSE,Working Group for the Celtic Seas Ecoregion,ADGCS,Celtic Sea Advice Drafting Group,1,2020,1,2021,"Age-structured model (XSA), uses catches in the model and in the forecast/ Age-structured model (FLXSA) that uses catches in the model and in the forecast (",MSY,demersal piscivore,Demersal,large demersal,TRUE,2.97
had.27.7a,IS haddock,2021,2860,169113,Haddock (Melanogrammus aeglefinus) in Division 7.a (Irish Sea),Irish Sea,2,Central CSE,Melanogrammus aeglefinus,Haddock,Celtic Seas Ecoregion,WGCSE,Working Group for the Celtic Seas Ecoregion,ADGCS,Celtic Sea Advice Drafting Group,1,2020,1,2021,Age-structured model (ASAP),MSY,demersal piscivore,Demersal,large demersal,TRUE,2.03
